,text,contains_image,contains_table,extracted_text,class
0,   ?This medicinal product is subject to additional monitoring in Australia. This will allow quick identification of new safety information. Healthcare professionals are asked to report any suspected adverse events at www.tga.gov.au/reporting-problems.,0,0,   ?This medicinal product is subject to additional monitoring in Australia. This will allow quick identification of new safety information. Healthcare professionals are asked to report any suspected adverse events at www.tga.gov.au/reporting-problems.,
1,<<START_HEADING>>AUSTRALIAN PRODUCT INFORMATION<<END_HEADING>>,0,0,AUSTRALIAN PRODUCT INFORMATION,0.0
2,<<START_SUBHEADING>>IMFINZI?<<END_SUBHEADING>>,0,0,IMFINZI?,1.0
3,<<START_SUBHEADING>> (durvalumab) <<END_SUBHEADING>>,0,0, (durvalumab) ,1.0
4,<<START_HEADING>>1 	NAME OF THE MEDICINE<<END_HEADING>>,0,0,1 	NAME OF THE MEDICINE,0.0
5,<<START_SECTION>>Durvalumab<<END_SECTION>>,0,0,Durvalumab,2.0
6,<<START_HEADING>>2 	QUALITATIVE AND QUANTITATIVE COMPOSITION<<END_HEADING>>,0,0,2 	QUALITATIVE AND QUANTITATIVE COMPOSITION,0.0
7,<<START_SECTION>>Each vial of IMFINZI concentrated solution for infusion contains either 120 mg or 500 mg of durvalumab.<<END_SECTION>>,0,0,Each vial of IMFINZI concentrated solution for infusion contains either 120 mg or 500 mg of durvalumab.,2.0
8,"<<START_SECTION>>For the full list of excipients, see Section 6.1. <<END_SECTION>>",0,0,"For the full list of excipients, see Section 6.1. ",2.0
9,<<START_HEADING>>3 	PHARMACEUTICAL FORM<<END_HEADING>>,0,0,3 	PHARMACEUTICAL FORM,0.0
10,"<<START_SECTION>>Sterile, preservative free, clear to opalescent and free from visible particles, colourless to slightly yellow, concentrated solution for infusion. <<END_SECTION>>",0,0,"Sterile, preservative free, clear to opalescent and free from visible particles, colourless to slightly yellow, concentrated solution for infusion. ",2.0
11,<<START_HEADING>>4 	CLINICAL PARTICULARS<<END_HEADING>>,0,0,4 	CLINICAL PARTICULARS,0.0
12,<<START_SUBHEADING>>4.1 	Therapeutic indications<<END_SUBHEADING>>,0,0,4.1 	Therapeutic indications,1.0
13,<<START_SUBHEADING>>Locally advanced non-small cell lung cancer (NSCLC) <<END_SUBHEADING>>,0,0,Locally advanced non-small cell lung cancer (NSCLC) ,1.0
14,"<<START_SECTION>>IMFINZI (durvalumab) is indicated for the treatment of patients with locally advanced, unresectable NSCLC whose disease has not progressed following platinum-based chemoradiation therapy. <<END_SECTION>>",0,0,"IMFINZI (durvalumab) is indicated for the treatment of patients with locally advanced, unresectable NSCLC whose disease has not progressed following platinum-based chemoradiation therapy. ",2.0
15,<<START_SUBHEADING>>Small cell lung cancer (SCLC) <<END_SUBHEADING>>,0,0,Small cell lung cancer (SCLC) ,1.0
16,<<START_SECTION>>IMFINZI (durvalumab) in combination with etoposide and either carboplatin or cisplatin is indicated for the first-line treatment of patients with extensive-stage small cell lung cancer (ESSCLC). <<END_SECTION>>,0,0,IMFINZI (durvalumab) in combination with etoposide and either carboplatin or cisplatin is indicated for the first-line treatment of patients with extensive-stage small cell lung cancer (ESSCLC). ,2.0
17,<<START_SUBHEADING>>4.2 	Dose and method of administration<<END_SUBHEADING>>,0,0,4.2 	Dose and method of administration,1.0
18,<<START_SECTION>>IMFINZI is for single use in one patient only. Discard any residue.<<END_SECTION>>,0,0,IMFINZI is for single use in one patient only. Discard any residue.,2.0
19,<<START_SECTION>>The recommended dose of IMFINZI depends on the indication as presented in Table 1. IMFINZI is administered as an intravenous infusion over 1 hour.<<END_SECTION>>,0,1,The recommended dose of IMFINZI depends on the indication as presented in Table 1. IMFINZI is administered as an intravenous infusion over 1 hour.,2.0
20,<<START_SECTION>>Table 1 	Recommended Dosage of IMFINZI<<END_SECTION>>,0,1,Table 1 	Recommended Dosage of IMFINZI,2.0
21,<<START_SECTION>>Indication<<END_SECTION>>,0,0,Indication,2.0
22,<<START_SECTION>>Recommended IMFINZI dosage<<END_SECTION>>,0,0,Recommended IMFINZI dosage,2.0
23,<<START_SECTION>>Duration of Therapy<<END_SECTION>>,0,0,Duration of Therapy,2.0
24,<<START_SECTION>>Locally Advanced NSCLC<<END_SECTION>>,0,0,Locally Advanced NSCLC,2.0
25,<<START_SECTION>>10 mg/kg every 2 weeks or 1500 mg every 4 weeksa<<END_SECTION>>,0,0,10 mg/kg every 2 weeks or 1500 mg every 4 weeksa,2.0
26,<<START_SECTION>>For one year or until disease progression or unacceptable toxicity<<END_SECTION>>,0,0,For one year or until disease progression or unacceptable toxicity,2.0
27,<<START_SECTION>>Indication<<END_SECTION>>,0,0,Indication,2.0
28,<<START_SECTION>>Recommended IMFINZI dosage<<END_SECTION>>,0,0,Recommended IMFINZI dosage,2.0
29,<<START_SECTION>>Duration of Therapy<<END_SECTION>>,0,0,Duration of Therapy,2.0
30,<<START_SECTION>>ES-SCLC<<END_SECTION>>,0,0,ES-SCLC,2.0
31,"<<START_SECTION>>1500 mgb in combination with chemotherapyc,d every 3 weeks<<END_SECTION>>",0,0,"1500 mgb in combination with chemotherapyc,d every 3 weeks",2.0
32,"<<START_SECTION>>(21 days) for 4 cycles, followed by<<END_SECTION>>",0,0,"(21 days) for 4 cycles, followed by",2.0
33,<<START_SECTION>>1500 mg every 4 weeks as monotherapy<<END_SECTION>>,0,0,1500 mg every 4 weeks as monotherapy,2.0
34,<<START_SECTION>>Until disease progression or unacceptable toxicity<<END_SECTION>>,0,0,Until disease progression or unacceptable toxicity,2.0
35,"<<START_SECTION>>a Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg.<<END_SECTION>>",0,0,"a Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg.",2.0
36,"<<START_SECTION>>b Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 20 mg/kg in combination with chemotherapy every 3 weeks (21 days) for 4 cycles, followed by 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg.<<END_SECTION>>",0,0,"b Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 20 mg/kg in combination with chemotherapy every 3 weeks (21 days) for 4 cycles, followed by 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg.",2.0
37,<<START_SECTION>>c Administer IMFINZI prior to chemotherapy when given on the same day.<<END_SECTION>>,0,0,c Administer IMFINZI prior to chemotherapy when given on the same day.,2.0
38,"<<START_SECTION>>d When IMFINZI is administered in combination with chemotherapy, refer also to the Product Information for etoposide, and carboplatin or cisplatin, and to Section 5.1 for dosing information in the CASPIAN study.<<END_SECTION>>",0,0,"d When IMFINZI is administered in combination with chemotherapy, refer also to the Product Information for etoposide, and carboplatin or cisplatin, and to Section 5.1 for dosing information in the CASPIAN study.",2.0
39,<<START_SECTION>>It is recommended to continue treatment for clinically stable patients with initial evidence of disease progression until disease progression is confirmed.<<END_SECTION>>,0,0,It is recommended to continue treatment for clinically stable patients with initial evidence of disease progression until disease progression is confirmed.,2.0
40,<<START_SECTION>>Dose escalation or reduction is not recommended. Dose withholding or discontinuation may be required based on individual safety and tolerability.<<END_SECTION>>,0,0,Dose escalation or reduction is not recommended. Dose withholding or discontinuation may be required based on individual safety and tolerability.,2.0
41,"<<START_SECTION>>No dose reduction or escalation for IMFINZI is recommended. In general, withhold IMFINZI for severe (Grade 3) immune-mediated adverse reactions. Permanently discontinue IMFINZI for lifethreatening (Grade 4) immune-mediated adverse reactions, recurrent severe (Grade 3) immunemediated reactions that require systemic immunosuppressive treatment, or an inability to reduce corticosteroid dose to 10 mg or less of prednisone or equivalent per day within 12 weeks of initiating corticosteroids.<<END_SECTION>>",0,0,"No dose reduction or escalation for IMFINZI is recommended. In general, withhold IMFINZI for severe (Grade 3) immune-mediated adverse reactions. Permanently discontinue IMFINZI for lifethreatening (Grade 4) immune-mediated adverse reactions, recurrent severe (Grade 3) immunemediated reactions that require systemic immunosuppressive treatment, or an inability to reduce corticosteroid dose to 10 mg or less of prednisone or equivalent per day within 12 weeks of initiating corticosteroids.",2.0
42,<<START_SECTION>>Immune-mediated adverse reactions requiring specific management are summarized in Table 2.<<END_SECTION>>,0,1,Immune-mediated adverse reactions requiring specific management are summarized in Table 2.,2.0
43,<<START_SECTION>>Refer to Section 4.4 Special warnings and precautions for use for further monitoring and evaluation information.<<END_SECTION>>,0,0,Refer to Section 4.4 Special warnings and precautions for use for further monitoring and evaluation information.,2.0
44,<<START_SECTION>>Table 2 	Recommended treatment modifications and management for adverse reactions<<END_SECTION>>,0,1,Table 2 	Recommended treatment modifications and management for adverse reactions,2.0
45,<<START_SECTION>>Adverse reactions<<END_SECTION>>,0,0,Adverse reactions,2.0
46,<<START_SECTION>>Severitya<<END_SECTION>>,0,0,Severitya,2.0
47,<<START_SECTION>>IMFINZI treatment modification<<END_SECTION>>,0,0,IMFINZI treatment modification,2.0
48,<<START_SECTION>>Additional management advice<<END_SECTION>>,0,0,Additional management advice,2.0
49,<<START_SECTION>>Pneumonitis/<<END_SECTION>>,0,0,Pneumonitis/,2.0
50,<<START_SECTION>>interstitial lung disease<<END_SECTION>>,0,0,interstitial lung disease,2.0
51,<<START_SECTION>>Grade 2<<END_SECTION>>,0,0,Grade 2,2.0
52,<<START_SECTION>>Withhold dose<<END_SECTION>>,0,0,Withhold dose,2.0
53,<<START_SECTION>>Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper,2.0
54,<<START_SECTION>>1 to 4 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,1 to 4 mg/kg/day prednisone or equivalent followed by a taper,2.0
55,<<START_SECTION>>Grade 3 or 4<<END_SECTION>>,0,0,Grade 3 or 4,2.0
56,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
57,<<START_SECTION>>Hepatitis<<END_SECTION>>,0,0,Hepatitis,2.0
58,<<START_SECTION>>Grade 2 with ALT or AST > 3-5 x ULN and/or total bilirubin > 1.5-3 x ULN<<END_SECTION>>,0,0,Grade 2 with ALT or AST > 3-5 x ULN and/or total bilirubin > 1.5-3 x ULN,2.0
59,<<START_SECTION>>Withhold dose<<END_SECTION>>,0,0,Withhold dose,2.0
60,<<START_SECTION>>Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper,2.0
61,<<START_SECTION>>Grade 3 with AST or ALT > 5-ó 8 x ULN or total bilirubin > 3 - ó 5 x ULN<<END_SECTION>>,0,0,Grade 3 with AST or ALT > 5-ó 8 x ULN or total bilirubin > 3 - ó 5 x ULN,2.0
62,<<START_SECTION>>Grade 3 with AST or ALT > 8 x ULN or total<<END_SECTION>>,0,0,Grade 3 with AST or ALT > 8 x ULN or total,2.0
