,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,text,contains_image,contains_table,extracted_text,class
0,0,0,0,   ▼This medicinal product is subject to additional monitoring in Australia. This will allow quick identification of new safety information. Healthcare professionals are asked to report any suspected adverse events at  ,0,0,   ▼This medicinal product is subject to additional monitoring in Australia. This will allow quick identification of new safety information. Healthcare professionals are asked to report any suspected adverse events at  ,
1,1,1,1,<<START_HEADING>>AUSTRALIAN PRODUCT INFORMATION<<END_HEADING>> ,0,0,AUSTRALIAN PRODUCT INFORMATION,0.0
2,2,2,2,<<START_SUBHEADING>>IMFINZI®<<END_SUBHEADING>> ,0,0,IMFINZI®,1.0
3,3,3,3,  ,0,0,  ,
4,4,4,4,<<START_SUBHEADING>> (durvalumab) <<END_SUBHEADING>> ,0,0, (durvalumab) ,1.0
5,5,5,5,,0,0,,
6,6,6,6,<<START_HEADING>>1 	NAME OF THE MEDICINE<<END_HEADING>> ,0,0,1 	NAME OF THE MEDICINE,0.0
7,7,7,7, ,0,0, ,
8,8,8,8,<<START_SECTION>>Durvalumab<<END_SECTION>> ,0,0,Durvalumab,2.0
9,9,9,9,<<START_HEADING>>2 	QUALITATIVE AND QUANTITATIVE COMPOSITION<<END_HEADING>> ,0,0,2 	QUALITATIVE AND QUANTITATIVE COMPOSITION,0.0
10,10,10,10, ,0,0, ,
11,11,11,11,<<START_SECTION>>Each vial of IMFINZI concentrated solution for infusion contains either 120 mg or 500 mg of durvalumab. <<END_SECTION>>,0,0,Each vial of IMFINZI concentrated solution for infusion contains either 120 mg or 500 mg of durvalumab. ,2.0
12,12,12,12,"<<START_SECTION>>For the full list of excipients, see Section 6.1. <<END_SECTION>> ",0,0,"For the full list of excipients, see Section 6.1. ",2.0
13,13,13,13,,0,0,,
14,14,14,14,<<START_HEADING>>3 	PHARMACEUTICAL FORM<<END_HEADING>> ,0,0,3 	PHARMACEUTICAL FORM,0.0
15,15,15,15, ,0,0, ,
16,16,16,16,"<<START_SECTION>>Sterile, preservative free, clear to opalescent and free from visible particles, colourless to slightly yellow, concentrated solution for infusion. <<END_SECTION>> ",0,0,"Sterile, preservative free, clear to opalescent and free from visible particles, colourless to slightly yellow, concentrated solution for infusion. ",2.0
17,17,17,17,,0,0,,
18,18,18,18,<<START_HEADING>>4 	CLINICAL PARTICULARS <<END_HEADING>>,0,0,4 	CLINICAL PARTICULARS ,0.0
19,19,19,19,<<START_SUBHEADING>>4.1 	Therapeutic indications<<END_SUBHEADING>> ,0,0,4.1 	Therapeutic indications,1.0
20,20,20,20,<<START_SUBHEADING>>Locally advanced non-small cell lung cancer (NSCLC) <<END_SUBHEADING>>,0,0,Locally advanced non-small cell lung cancer (NSCLC) ,1.0
21,21,21,21,"<<START_SECTION>>IMFINZI (durvalumab) is indicated for the treatment of patients with locally advanced, unresectable NSCLC whose disease has not progressed following platinum-based chemoradiation therapy. <<END_SECTION>> ",0,0,"IMFINZI (durvalumab) is indicated for the treatment of patients with locally advanced, unresectable NSCLC whose disease has not progressed following platinum-based chemoradiation therapy. ",2.0
22,22,22,22,,0,0,,
23,23,23,23,<<START_SUBHEADING>>Small cell lung cancer (SCLC) <<END_SUBHEADING>> ,0,0,Small cell lung cancer (SCLC) ,1.0
24,24,24,24,<<START_SECTION>>IMFINZI (durvalumab) in combination with etoposide and either carboplatin or cisplatin is indicated for the first-line treatment of patients with extensive-stage small cell lung cancer (ESSCLC). <<END_SECTION>> ,0,0,IMFINZI (durvalumab) in combination with etoposide and either carboplatin or cisplatin is indicated for the first-line treatment of patients with extensive-stage small cell lung cancer (ESSCLC). ,2.0
25,25,25,25,,0,0,,
26,26,26,26,<<START_SUBHEADING>>4.2 	Dose and method of administration<<END_SUBHEADING>> ,0,0,4.2 	Dose and method of administration,1.0
27,27,27,27,<<START_SECTION>>IMFINZI is for single use in one patient only. Discard any residue. <<END_SECTION>>,0,0,IMFINZI is for single use in one patient only. Discard any residue. ,2.0
28,28,28,28,<<START_SECTION>>The recommended dose of IMFINZI depends on the indication as presented in Table 1. IMFINZI is administered as an intravenous infusion over 1 hour. <<END_SECTION>>,0,0,The recommended dose of IMFINZI depends on the indication as presented in Table 1. IMFINZI is administered as an intravenous infusion over 1 hour. ,2.0
29,29,29,29,<<START_SECTION>>Table 1 	Recommended Dosage of IMFINZI <<END_SECTION>>,0,0,Table 1 	Recommended Dosage of IMFINZI ,2.0
