text,label
"Lidocaine and prilocaine cream application in children was studied in seven non-US studies (320 patients) and one US study (100 patients). In controlled studies, application of lidocaine and prilocaine cream for at least 1 hour with or without presurgical medication prior to needle insertion provided significantly more pain reduction than placebo. In children under the age of seven years, lidocaine and prilocaine cream was less effective than in older children or adults.",2
+       Wheal absent or very slight erythema present (not more than 3 mm diameter).,2
Read the Patient's Instructions for Use that comes with Accuneb®. Ask your pharmacist for these instructions if they are not with your medicine. Keep the instructions with Accuneb® because you may want to read them again.,2
"Retinal vascular thrombosis, intolerance to contact lenses.",2
"5. Parents of pediatric patients should be advised not to use tight-fitting diapers or plastic pants on a child being treated in the diaper area, as these garments may constitute occlusive dressings.",2
All infections due to Group A beta-hemolytic streptococci should be treated for at least ten days.,2
"Propellant HFA-134a is devoid of pharmacological activity except at very high doses in animals (380‑1300 times the maximum human exposure based on comparisons of AUC values), primarily producing ataxia, tremors, dyspnea, or salivation. These are similar to effects produced by the structurally related chlorofluorocarbons (CFCs), which have been used extensively in metered dose inhalers.",2
"Additional Adverse Reactions with Use of Abacavir, Lamivudine and Zidovudine Tablets",2
Abilify DISCMELT® (aripiprazole) Orally Disintegrating Tablets are round tablets with markings on either side. Abilify DISCMELT is available in the strengths and packages listed in Table 33.,2
Immunosuppression,1
"In a teratology study in rabbits, an increased incidence of postimplantation fetal loss occurred in dams exposed to 60, 300, and 1500 mg/kg/day, or less than approximately 1/4 to 8 times the maximum human dose on a mg/m2 basis. There are no adequate and well-controlled studies in pregnant women. This drug should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus.",2
Hiberix,2
Lung cancer.,1
"Instruct patients to take supplemental calcium and vitamin D if dietary intake is inadequate [see Warnings and Precautions (5.3)]. Weight-bearing exercise should be considered along with the modification of certain behavioral factors, such as excessive cigarette smoking, and/or alcohol consumption, if these factors exist.",2
Alendronate 5mg/day at One Year,2
"Epinephrine increases glycogenolysis, reduces glucose up take by tissues, and inhibits insulin release in the pancreas, resulting in hyperglycemia and increased blood lactic acid [see Warnings and Precautions (5.5)].",2
"In pediatric patients (12 to 15 years), the mean ± SD elimination half-lives (t1/2) of isotretinoin and 4-oxo-isotretinoin were 15.7 ± 5.1 hours and 23.1 ± 5.7 hours, respectively. The accumulation ratios of isotretinoin ranged from 0.46 to 3.65 for pediatric patients.",2
The green starter pen is 50 mcg/mL and delivers 14 doses of 10 mcg. The burgundy maintenance pen is 100 mcg/mL and delivers 14 doses of 20 mcg.,2
